episode rewards,episode len
-255.53,101
-108.94,140
-338.05,156
-103.05,107
-97.17,78
-340.53,119
-114.46,88
-212.46,369
-322.47,58
-97.65,101
-187.47,113
-276.65,154
-98.44,129
-75.41,85
-101.08,64
-210.40,108
-121.61,111
-170.67,58
-121.98,74
-372.61,111
-89.98,124
-228.75,101
-131.81,69
-323.90,148
-192.64,89
-53.00,87
-103.71,88
-143.01,68
-101.46,94
-102.65,201
-66.72,90
-52.40,126
-250.93,116
-209.45,91
-4.93,88
-248.46,191
-68.39,68
-186.46,129
-377.25,101
-181.53,84
41.99,92
-118.41,74
-73.15,89
-138.79,108
-116.78,79
-355.22,114
-234.27,130
-212.10,94
-117.37,59
-125.43,91
-229.05,101
-154.05,77
-163.91,119
-231.30,132
-138.81,61
-80.14,78
-108.37,108
-117.43,92
-202.46,129
-400.82,123
-169.88,73
-171.07,100
-160.86,109
-402.47,82
-41.67,76
-443.24,118
-149.37,93
-146.92,84
-309.77,113
1.85,107
-98.89,70
-105.22,67
-138.49,140
-160.31,205
-171.55,76
-162.83,107
-82.34,116
-368.36,109
4.70,124
-191.86,298
-206.47,248
-101.66,141
-42.22,77
-206.40,101
-151.65,116
-150.17,98
-108.76,61
-171.52,109
-245.68,117
-13.93,83
-111.01,83
-47.54,109
-136.33,95
-175.74,97
-115.91,87
-81.65,80
-125.66,98
-82.24,66
-127.43,131
-115.01,73
-144.18,68
-88.54,81
-54.51,104
-322.26,124
-201.84,121
-70.72,101
-87.53,100
-126.08,59
-165.92,98
-145.29,102
1.51,101
-126.04,79
-107.43,60
-139.89,97
-148.67,96
8.81,135
-120.98,67
-150.18,74
-129.79,102
-120.56,109
-95.75,119
-51.05,92
-148.85,76
-133.72,104
-103.87,91
-76.68,81
-116.52,59
-174.24,64
-139.44,114
-199.57,108
-144.75,262
-83.10,74
-132.34,107
-14.37,98
-196.45,83
-176.07,92
-291.53,131
-175.10,108
-57.06,64
-91.12,60
-207.20,120
-192.53,118
-297.30,115
-275.79,119
-147.16,91
-155.74,106
-183.39,95
-106.73,97
-168.98,73
-56.42,78
-178.99,101
-194.03,93
-32.93,83
16.55,96
-226.55,107
-136.12,53
-155.36,65
18.86,109
-122.66,60
-195.92,100
-63.36,70
-230.69,116
-153.00,119
-97.06,103
-114.50,83
-123.45,76
-116.34,59
-120.49,59
-104.12,51
-5.99,103
-175.15,93
-213.48,151
-133.69,61
-123.08,66
-235.81,111
-152.20,58
-118.13,84
-80.01,69
-155.45,156
-166.21,120
-272.59,123
-43.44,118
-90.20,84
-107.64,99
-140.49,92
-71.11,102
-158.13,93
-148.16,82
-166.67,68
-146.89,73
-238.96,104
-116.51,151
-143.39,128
-120.59,55
-190.28,114
-144.40,107
-240.75,136
-181.00,86
-66.00,76
-66.23,65
-301.02,136
-218.49,97
-144.77,98
-211.89,112
-136.72,79
-167.57,124
-78.15,59
-98.92,62
-188.14,103
-206.79,89
-130.31,97
-144.59,119
-232.05,112
-81.72,97
-297.92,105
-150.99,81
-104.68,52
-140.63,85
-81.15,83
-114.50,124
-168.64,87
-139.96,90
-216.32,109
-123.81,98
-111.84,148
-136.73,104
-316.40,132
-129.73,132
-145.51,101
-109.25,69
-128.52,110
-281.98,108
-114.79,104
-180.23,73
-104.90,79
-181.12,139
-292.97,101
-143.62,68
-365.81,99
-114.58,107
-124.09,95
-139.52,164
-160.69,114
-6.64,101
-70.22,84
-262.98,112
-169.47,119
-102.92,57
9.19,108
-115.05,70
-151.12,79
-127.68,99
-101.06,159
-111.98,81
-129.16,117
-312.70,103
-113.86,51
-141.05,81
-136.85,72
-166.44,86
-100.98,198
-52.65,157
-132.43,111
15.95,79
-260.57,121
